name,position,birth_date,nationality,number,season,club
Wojciech Szczesny,Goalkeeper,1990-04-18,Poland,1,2018,9
Mattia Perin,Goalkeeper,1992-11-10,Italy,22,2018,9
Carlo Pinsoglio,Goalkeeper,1990-03-16,Italy,21,2018,9
Mattia Del Favero,Goalkeeper,1998-06-05,Italy,32,2018,9
Leonardo Bonucci,Centre-Back,1987-05-01,Italy,19,2018,9
Daniele Rugani,Centre-Back,1994-07-29,Italy,24,2018,9
Medhi Benatia,Centre-Back,1987-04-17,Morocco,4,2018,9
Giorgio Chiellini,Centre-Back,1984-08-14,Italy,3,2018,9
Martín Cáceres,Centre-Back,1987-04-07,Uruguay,4,2018,9
Andrea Barzagli,Centre-Back,1981-05-08,Italy,15,2018,9
Luca Coccolo,Centre-Back,1998-02-23,Italy,38,2018,9
Paolo Gozzi,Centre-Back,2001-04-25,Italy,43,2018,9
Alex Sandro,Left-Back,1991-01-26,Brazil,12,2018,9
Leonardo Spinazzola,Left-Back,1993-03-25,Italy,37,2018,9
João Cancelo,Right-Back,1994-05-27,Portugal,20,2018,9
Juan Cuadrado,Right-Back,1988-05-26,Colombia,16,2018,9
Mattia De Sciglio,Right-Back,1992-10-20,Italy,2,2018,9
Emre Can,Defensive Midfield,1994-01-12,Germany,23,2018,9
Miralem Pjanic,Central Midfield,1990-04-02,Bosnia-Herzegovina,5,2018,9
Rodrigo Bentancur,Central Midfield,1997-06-25,Uruguay,30,2018,9
Blaise Matuidi,Central Midfield,1987-04-09,France,14,2018,9
Sami Khedira,Central Midfield,1987-04-04,Germany,6,2018,9
Hans Nicolussi Caviglia,Central Midfield,2000-06-18,Italy,41,2018,9
Grigoris Kastanos,Central Midfield,1998-01-30,Cyprus,39,2018,9
Simone Muratore,Central Midfield,1998-05-30,Italy,36,2018,9
Manolo Portanova,Attacking Midfield,2000-06-02,Italy,34,2018,9
Matheus Pereira,Attacking Midfield,1998-02-25,Brazil,35,2018,9
Nicolò Fagioli,Attacking Midfield,2001-02-12,Italy,44,2018,9
Douglas Costa,Left Winger,1990-09-14,Brazil,11,2018,9
Stephy Mavididi,Left Winger,1998-05-31,England,40,2018,9
Federico Bernardeschi,Right Winger,1994-02-16,Italy,33,2018,9
Paulo Dybala,Second Striker,1993-11-15,Argentina,10,2018,9
Cristiano Ronaldo,Centre-Forward,1985-02-05,Portugal,7,2018,9
Moise Kean,Centre-Forward,2000-02-28,Italy,18,2018,9
Mario Mandzukic,Centre-Forward,1986-05-21,Croatia,17,2018,9
Samir Handanovic,Goalkeeper,1984-07-14,Slovenia,1,2018,15
Raffaele Di Gennaro,Goalkeeper,1993-10-03,Italy,93,2018,15
Daniele Padelli,Goalkeeper,1985-10-25,Italy,27,2018,15
Tommaso Berni,Goalkeeper,1983-03-06,Italy,46,2018,15
Milan Skriniar,Centre-Back,1995-02-11,Slovakia,37,2018,15
Stefan de Vrij,Centre-Back,1992-02-05,Netherlands,6,2018,15
Miranda,Centre-Back,1984-09-07,Brazil,23,2018,15
Andrea Ranocchia,Centre-Back,1988-02-16,Italy,13,2018,15
Dalbert,Left-Back,1993-09-08,Brazil,29,2018,15
Sime Vrsaljko,Right-Back,1992-01-10,Croatia,2,2018,15
Danilo D'Ambrosio,Right-Back,1988-09-09,Italy,33,2018,15
Cédric Soares,Right-Back,1991-08-31,Portugal,21,2018,15
Marcelo Brozovic,Defensive Midfield,1992-11-16,Croatia,77,2018,15
Radja Nainggolan,Central Midfield,1988-05-04,Belgium,14,2018,15
Matías Vecino,Central Midfield,1991-08-24,Uruguay,8,2018,15
João Mário,Central Midfield,1993-01-19,Portugal,15,2018,15
Roberto Gagliardini,Central Midfield,1994-04-07,Italy,5,2018,15
Borja Valero,Central Midfield,1985-01-12,Spain,20,2018,15
Antonio Candreva,Right Midfield,1987-02-28,Italy,87,2018,15
Ivan Perisic,Left Midfield,1989-02-02,Croatia,44,2018,15
Kwadwo Asamoah,Left Midfield,1988-12-09,Ghana,18,2018,15
Yann Karamoh,Left Winger,1998-07-08,Cote d'Ivoire,7,2018,15
Matteo Politano,Right Winger,1993-08-03,Italy,16,2018,15
Mauro Icardi,Centre-Forward,1993-02-19,Argentina,9,2018,15
Lautaro Martínez,Centre-Forward,1997-08-22,Argentina,10,2018,15
Keita Baldé,Centre-Forward,1995-03-08,Senegal,11,2018,15
Facundo Colidio,Centre-Forward,2000-01-04,Argentina,61,2018,15
Eddie Salcedo,Centre-Forward,2001-10-01,Italy,74,2018,15
Gianluigi Donnarumma,Goalkeeper,1999-02-25,Italy,99,2018,19
Alessandro Plizzari,Goalkeeper,2000-03-12,Italy,35,2018,19
Pepe Reina,Goalkeeper,1982-08-31,Spain,25,2018,19
Antonio Donnarumma,Goalkeeper,1990-07-07,Italy,90,2018,19
Matteo Soncin,Goalkeeper,2001-03-28,Italy,84,2018,19
Alessio Romagnoli,Centre-Back,1995-01-12,Italy,13,2018,19
Mattia Caldara,Centre-Back,1994-05-05,Italy,33,2018,19
Mateo Musacchio,Centre-Back,1990-08-26,Argentina,22,2018,19
Cristián Zapata,Centre-Back,1986-09-30,Colombia,17,2018,19
Stefan Simic,Centre-Back,1995-01-20,Czech Republic,56,2018,19
Ricardo Rodríguez,Left-Back,1992-08-25,Switzerland,68,2018,19
Diego Laxalt,Left-Back,1993-02-07,Uruguay,93,2018,19
Ivan Strinic,Left-Back,1987-07-17,Croatia,23,2018,19
Davide Calabria,Right-Back,1996-12-06,Italy,2,2018,19
Andrea Conti,Right-Back,1994-03-02,Italy,12,2018,19
Ignazio Abate,Right-Back,1986-11-12,Italy,20,2018,19
Tiemoué Bakayoko,Defensive Midfield,1994-08-17,France,14,2018,19
Lucas Biglia,Defensive Midfield,1986-01-30,Argentina,21,2018,19
Riccardo Montolivo,Defensive Midfield,1985-01-18,Italy,18,2018,19
Franck Kessié,Central Midfield,1996-12-19,Cote d'Ivoire,79,2018,19
Giacomo Bonaventura,Central Midfield,1989-08-22,Italy,5,2018,19
Andrea Bertolacci,Central Midfield,1991-01-11,Italy,16,2018,19
José Mauri,Central Midfield,1996-05-16,Italy,4,2018,19
Lucas Paquetá,Attacking Midfield,1997-08-27,Brazil,39,2018,19
Hakan Calhanoglu,Attacking Midfield,1994-02-08,Turkey,10,2018,19
Alen Halilovic,Attacking Midfield,1996-06-18,Croatia,77,2018,19
Fabio Borini,Left Winger,1991-03-29,Italy,11,2018,19
Suso,Right Winger,1993-11-19,Spain,8,2018,19
Samu Castillejo,Right Winger,1995-01-18,Spain,7,2018,19
Krzysztof Piatek,Centre-Forward,1995-07-01,Poland,19,2018,19
Gonzalo Higuaín,Centre-Forward,1987-12-10,Argentina,9,2018,19
Patrick Cutrone,Centre-Forward,1998-01-03,Italy,63,2018,19
Alex Meret,Goalkeeper,1997-03-22,Italy,1,2018,10
David Ospina,Goalkeeper,1988-08-31,Colombia,25,2018,10
Orestis Karnezis,Goalkeeper,1985-07-11,Greece,27,2018,10
Nikita Contini,Goalkeeper,1996-05-21,Italy,12,2018,10
Davide Marfella,Goalkeeper,1999-09-15,Italy,22,2018,10
Alessandro D'Andrea,Goalkeeper,2000-03-22,Italy,22,2018,10
João Pedro Piai,Goalkeeper,2000-07-11,Brazil,12,2018,10
Kalidou Koulibaly,Centre-Back,1991-06-20,Senegal,26,2018,10
Nikola Maksimovic,Centre-Back,1991-11-25,Serbia,19,2018,10
Raúl Albiol,Centre-Back,1985-09-04,Spain,33,2018,10
Vlad Chiriches,Centre-Back,1989-11-14,Romania,21,2018,10
Sebastiano Luperto,Centre-Back,1996-09-06,Italy,13,2018,10
Faouzi Ghoulam,Left-Back,1991-02-01,Algeria,31,2018,10
Mário Rui,Left-Back,1991-05-27,Portugal,6,2018,10
Elseid Hysaj,Right-Back,1994-02-02,Albania,23,2018,10
Kévin Malcuit,Right-Back,1991-07-31,France,2,2018,10
Amadou Diawara,Defensive Midfield,1997-07-17,Guinea,42,2018,10
Allan,Central Midfield,1991-01-08,Brazil,5,2018,10
Fabián Ruiz,Central Midfield,1996-04-03,Spain,8,2018,10
Marek Hamsik,Central Midfield,1987-07-27,Slovakia,17,2018,10
Marko Rog,Central Midfield,1995-07-19,Croatia,30,2018,10
Karim Zedadka,Left Midfield,2000-06-09,France,3,2018,10
Piotr Zielinski,Attacking Midfield,1994-05-20,Poland,20,2018,10
Simone Verdi,Attacking Midfield,1992-07-12,Italy,9,2018,10
Amin Younes,Attacking Midfield,1993-08-06,Germany,34,2018,10
Gianluca Gaetano,Attacking Midfield,2000-05-05,Italy,18,2018,10
Lorenzo Insigne,Left Winger,1991-06-04,Italy,24,2018,10
José Callejón,Right Winger,1987-02-11,Spain,7,2018,10
Adam Ounas,Right Winger,1996-11-11,Algeria,11,2018,10
Arkadiusz Milik,Centre-Forward,1994-02-28,Poland,99,2018,10
Dries Mertens,Centre-Forward,1987-05-06,Belgium,14,2018,10
Carlos Vinícius,Centre-Forward,1995-03-25,Brazil,95,2018,10
Robin Olsen,Goalkeeper,1990-01-08,Sweden,1,2018,18
Antonio Mirante,Goalkeeper,1983-07-08,Italy,83,2018,18
Daniel Fuzato,Goalkeeper,1997-07-04,Brazil,63,2018,18
Stefano Greco,Goalkeeper,1999-02-21,Italy,77,2018,18
Matteo Cardinali,Goalkeeper,2001-06-28,Italy,45,2018,18
Konstantinos Manolas,Centre-Back,1991-06-14,Greece,44,2018,18
Juan Jesus,Centre-Back,1991-06-10,Brazil,5,2018,18
Federico Fazio,Centre-Back,1987-03-17,Argentina,20,2018,18
Iván Marcano,Centre-Back,1987-06-23,Spain,15,2018,18
William Bianda,Centre-Back,2000-04-30,France,28,2018,18
Riccardo Cargnelutti,Centre-Back,1999-02-08,Italy,58,2018,18
Aleksandar Kolarov,Left-Back,1985-11-10,Serbia,11,2018,18
Luca Pellegrini,Left-Back,1999-03-07,Italy,3,2018,18
Francesco Semeraro,Left-Back,2001-05-01,Italy,57,2018,18
Alessandro Florenzi,Right-Back,1991-03-11,Italy,24,2018,18
Rick Karsdorp,Right-Back,1995-02-11,Netherlands,2,2018,18
Davide Santon,Right-Back,1991-01-02,Italy,18,2018,18
Steven Nzonzi,Defensive Midfield,1988-12-15,France,42,2018,18
Maxime Gonalons,Defensive Midfield,1989-03-10,France,21,2018,18
Daniele De Rossi,Defensive Midfield,1983-07-24,Italy,16,2018,18
Andrea Marcucci,Defensive Midfield,1999-02-07,Italy,52,2018,18
Salvatore Pezzella,Defensive Midfield,2000-03-11,Italy,55,2018,18
Lorenzo Pellegrini,Central Midfield,1996-06-19,Italy,7,2018,18
Bryan Cristante,Central Midfield,1995-03-03,Italy,4,2018,18
Kevin Strootman,Central Midfield,1990-02-13,Netherlands,6,2018,18
Javier Pastore,Attacking Midfield,1989-06-20,Argentina,27,2018,18
Ante Coric,Attacking Midfield,1997-04-14,Croatia,19,2018,18
Alessio Riccardi,Attacking Midfield,2001-04-03,Italy,53,2018,18
Stephan El Shaarawy,Left Winger,1992-10-27,Italy,92,2018,18
Justin Kluivert,Left Winger,1999-05-05,Netherlands,34,2018,18
Diego Perotti,Left Winger,1988-07-26,Argentina,8,2018,18
Ludovico D'Orazio,Left Winger,2000-02-19,Italy,56,2018,18
Gianmarco Cangiano,Left Winger,2001-11-16,Italy,54,2018,18
Nicolò Zaniolo,Right Winger,1999-07-02,Italy,22,2018,18
Cengiz Ünder,Right Winger,1997-07-14,Turkey,17,2018,18
Patrik Schick,Centre-Forward,1996-01-24,Czech Republic,14,2018,18
Edin Dzeko,Centre-Forward,1986-03-17,Bosnia-Herzegovina,9,2018,18
Zan Celar,Centre-Forward,1999-03-14,Slovenia,60,2018,18
Thomas Strakosha,Goalkeeper,1995-03-19,Albania,1,2018,2
Silvio Proto,Goalkeeper,1983-05-23,Belgium,24,2018,2
Guido Guerrieri,Goalkeeper,1996-02-25,Italy,23,2018,2
Marius Adamonis,Goalkeeper,1997-05-13,Lithuania,31,2018,2
Marco Alia,Goalkeeper,2000-04-26,Albania,50,2018,2
Alessio Furlanetto,Goalkeeper,2002-02-07,Italy,90,2018,2
Francesco Acerbi,Centre-Back,1988-02-10,Italy,33,2018,2
Luiz Felipe,Centre-Back,1997-03-22,Brazil,3,2018,2
Wallace,Centre-Back,1994-10-14,Brazil,13,2018,2
Stefan Radu,Centre-Back,1986-10-22,Romania,26,2018,2
Bastos,Centre-Back,1991-03-27,Angola,15,2018,2
Patric,Centre-Back,1993-04-17,Spain,4,2018,2
Martín Cáceres,Centre-Back,1987-04-07,Uruguay,22,2018,2
Jorge Silva,Centre-Back,1999-02-04,Portugal,49,2018,2
Sergio Kalaj,Centre-Back,2000-01-28,Albania,28,2018,2
Nicolò Armini,Centre-Back,2001-03-07,Italy,58,2018,2
Jordan Lukaku,Left-Back,1994-07-25,Belgium,5,2018,2
Riza Durmisi,Left-Back,1994-01-08,Denmark,14,2018,2
Lorenzo Filippini,Left-Back,1995-07-28,Italy,48,2018,2
Adam Marusic,Right-Back,1992-10-17,Montenegro,77,2018,2
Dusan Basta,Right-Back,1984-08-18,Serbia,8,2018,2
Mauro Zitelli,Right-Back,2000-04-12,Italy,98,2018,2
Lucas Leiva,Defensive Midfield,1987-01-09,Brazil,6,2018,2
Milan Badelj,Defensive Midfield,1989-02-25,Croatia,25,2018,2
Sergej Milinković-Savić,Central Midfield,1995-02-27,Serbia,21,2018,2
Luis Alberto,Central Midfield,1992-09-28,Spain,10,2018,2
Valon Berisha,Central Midfield,1993-02-07,Kosovo,7,2018,2
Alessandro Murgia,Central Midfield,1996-08-09,Italy,96,2018,2
Danilo Cataldi,Central Midfield,1994-08-06,Italy,32,2018,2
Marco Parolo,Central Midfield,1985-01-25,Italy,16,2018,2
Rômulo,Central Midfield,1987-05-22,Italy,27,2018,2
Bruno Jordão,Central Midfield,1998-10-12,Portugal,66,2018,2
Joseph Marie Minala,Central Midfield,1996-08-24,Cameroon,28,2018,2
Abukar Mohamed,Central Midfield,1999-01-01,Finland,99,2018,2
Senad Lulic,Left Midfield,1986-01-18,Bosnia-Herzegovina,19,2018,2
Pedro Neto,Left Winger,2000-03-09,Portugal,30,2018,2
Cristiano Lombardi,Right Winger,1995-08-19,Italy,87,2018,2
Joaquín Correa,Second Striker,1994-08-13,Argentina,11,2018,2
Ciro Immobile,Centre-Forward,1990-02-20,Italy,17,2018,2
Felipe Caicedo,Centre-Forward,1988-09-05,Ecuador,20,2018,2
Alessandro Rossi,Centre-Forward,1997-01-03,Italy,9,2018,2
Luan Capanni,Centre-Forward,2000-05-29,Brazil,71,2018,2
Pierluigi Gollini,Goalkeeper,1995-03-18,Italy,95,2018,8
Etrit Berisha,Goalkeeper,1989-03-10,Albania,1,2018,8
Marco Carnesecchi,Goalkeeper,2000-07-01,Italy,25,2018,8
Francesco Rossi,Goalkeeper,1991-04-27,Italy,31,2018,8
Gianluca Mancini,Centre-Back,1996-04-17,Italy,23,2018,8
Rafael Tolói,Centre-Back,1990-10-10,Italy,2,2018,8
José Luis Palomino,Centre-Back,1990-01-05,Argentina,6,2018,8
Berat Djimsiti,Centre-Back,1993-02-19,Albania,19,2018,8
Roger Ibañez,Centre-Back,1998-11-23,Brazil,41,2018,8
Marco Varnier,Centre-Back,1998-06-08,Italy,30,2018,8
Andrea Masiello,Centre-Back,1986-02-05,Italy,5,2018,8
Davide Bettella,Centre-Back,2000-04-07,Italy,13,2018,8
Caleb Okoli,Centre-Back,2001-07-13,Italy,55,2018,8
Robin Gosens,Left-Back,1994-07-05,Germany,8,2018,8
Arkadiusz Reca,Left-Back,1995-06-17,Poland,7,2018,8
Ali Adnan,Left-Back,1993-12-19,Iraq,53,2018,8
Timothy Castagne,Right-Back,1995-12-05,Belgium,21,2018,8
Hans Hateboer,Right-Back,1994-01-09,Netherlands,33,2018,8
Enrico Del Prato,Right-Back,1999-11-10,Italy,78,2018,8
Marten de Roon,Defensive Midfield,1991-03-29,Netherlands,15,2018,8
Remo Freuler,Central Midfield,1992-04-15,Switzerland,11,2018,8
Mario Pasalic,Central Midfield,1995-02-09,Croatia,88,2018,8
Luca Valzania,Central Midfield,1996-03-05,Italy,4,2018,8
Andrea Colpani,Central Midfield,1999-05-11,Italy,70,2018,8
Matteo Pessina,Attacking Midfield,1997-04-21,Italy,22,2018,8
Nicolò Cambiaghi,Left Winger,2000-12-28,Italy,97,2018,8
Emiliano Rigoni,Right Winger,1993-02-04,Argentina,24,2018,8
Dejan Kulusevski,Right Winger,2000-04-25,Sweden,44,2018,8
Lorenzo Peli,Right Winger,2000-01-24,Italy,32,2018,8
Josip Ilicic,Second Striker,1988-01-29,Slovenia,72,2018,8
Papu Gómez,Second Striker,1988-02-15,Argentina,10,2018,8
Duván Zapata,Centre-Forward,1991-04-01,Colombia,91,2018,8
Musa Barrow,Centre-Forward,1998-11-14,The Gambia,99,2018,8
Andreas Cornelius,Centre-Forward,1993-03-16,Denmark,9,2018,8
Marco Tumminello,Centre-Forward,1998-11-06,Italy,20,2018,8
Roberto Piccoli,Centre-Forward,2001-01-27,Italy,17,2018,8
Alban Lafont,Goalkeeper,1999-01-23,France,1,2018,12
Bartlomiej Dragowski,Goalkeeper,1997-08-19,Poland,69,2018,12
Pietro Terracciano,Goalkeeper,1990-03-08,Italy,23,2018,12
Federico Brancolini,Goalkeeper,2001-07-14,Italy,33,2018,12
Simone Ghidotti,Goalkeeper,2000-03-19,Italy,67,2018,12
Nikola Milenkovic,Centre-Back,1997-10-12,Serbia,4,2018,12
Germán Pezzella,Centre-Back,1991-06-27,Argentina,20,2018,12
Vitor Hugo,Centre-Back,1991-05-20,Brazil,31,2018,12
Federico Ceccherini,Centre-Back,1992-05-11,Italy,5,2018,12
David Hancko,Centre-Back,1997-12-13,Slovakia,16,2018,12
Georgios Antzoulas,Centre-Back,2000-02-04,Greece,30,2018,12
Cristiano Biraghi,Left-Back,1992-09-01,Italy,3,2018,12
Maximiliano Olivera,Left-Back,1992-03-05,Uruguay,15,2018,12
Vincent Laurini,Right-Back,1989-06-10,France,2,2018,12
Kevin Diks,Right-Back,1996-10-06,Netherlands,34,2018,12
Gabriele Ferrarini,Right-Back,2000-04-09,Italy,32,2018,12
Jordan Veretout,Central Midfield,1993-03-01,France,17,2018,12
Marco Benassi,Central Midfield,1994-09-08,Italy,24,2018,12
Gerson,Central Midfield,1997-05-20,Brazil,8,2018,12
Edimilson Fernandes,Central Midfield,1996-04-15,Switzerland,26,2018,12
Bryan Dabo,Central Midfield,1992-02-18,Burkina Faso,14,2018,12
Christian Nörgaard,Central Midfield,1994-03-10,Denmark,6,2018,12
Sebastián Cristóforo,Central Midfield,1993-08-23,Uruguay,23,2018,12
Nicky Beloko,Central Midfield,2000-02-16,Switzerland,18,2018,12
Valentin Eysseric,Attacking Midfield,1992-03-25,France,7,2018,12
Tòfol Montiel,Attacking Midfield,2000-04-11,Spain,19,2018,12
Marco Meli,Attacking Midfield,2000-02-02,Italy,73,2018,12
Marko Pjaca,Left Winger,1995-05-06,Croatia,10,2018,12
Riccardo Sottil,Left Winger,1999-06-03,Italy,21,2018,12
Rafik Zekhnini,Left Winger,1998-01-12,Norway,98,2018,12
Christian Koffi,Left Winger,2000-08-28,France,34,2018,12
Federico Chiesa,Right Winger,1997-10-25,Italy,25,2018,12
Kevin Mirallas,Right Winger,1987-10-05,Belgium,11,2018,12
Cyril Théréau,Second Striker,1983-04-24,France,77,2018,12
Giovanni Simeone,Centre-Forward,1995-07-05,Argentina,9,2018,12
Luis Muriel,Centre-Forward,1991-04-16,Colombia,29,2018,12
Dusan Vlahovic,Centre-Forward,2000-01-28,Serbia,28,2018,12
Martin Graiciar,Centre-Forward,1999-04-11,Czech Republic,27,2018,12
Salvatore Sirigu,Goalkeeper,1987-01-12,Italy,39,2018,7
Salvador Ichazo,Goalkeeper,1992-01-26,Uruguay,1,2018,7
Antonio Rosati,Goalkeeper,1983-06-26,Italy,25,2018,7
Luca Gemello,Goalkeeper,2000-07-03,Italy,89,2018,7
Armando Izzo,Centre-Back,1992-03-02,Italy,5,2018,7
Nicolas N'Koulou,Centre-Back,1990-03-27,Cameroon,33,2018,7
Lyanco,Centre-Back,1997-02-01,Brazil,3,2018,7
Koffi Djidji,Centre-Back,1992-11-30,Cote d'Ivoire,30,2018,7
Bremer,Centre-Back,1997-03-18,Brazil,36,2018,7
Emiliano Moretti,Centre-Back,1981-06-11,Italy,24,2018,7
Erick Ferigra,Centre-Back,1999-02-07,Ecuador,99,2018,7
Edoardo Bianchi,Centre-Back,1999-04-30,Italy,99,2018,7
Cristian Ansaldi,Left-Back,1986-09-20,Argentina,15,2018,7
Ola Aina,Right-Back,1996-10-08,Nigeria,34,2018,7
Lorenzo De Silvestri,Right-Back,1988-05-23,Italy,29,2018,7
Alessandro Fiordaliso,Right-Back,1999-03-20,Italy,51,2018,7
Wilfried Singo,Right-Back,2000-12-25,Cote d'Ivoire,17,2018,7
Filippo Gilli,Right-Back,2000-10-19,Italy,53,2018,7
Soualiho Meïté,Defensive Midfield,1994-03-17,France,23,2018,7
Tomás Rincón,Defensive Midfield,1988-01-13,Venezuela,88,2018,7
Daniele Baselli,Central Midfield,1992-03-12,Italy,8,2018,7
Sasa Lukic,Central Midfield,1996-08-13,Serbia,7,2018,7
Michel Adopo,Central Midfield,2000-07-19,France,80,2018,7
Adem Ljajic,Attacking Midfield,1991-09-29,Serbia,10,2018,7
Roberto Soriano,Attacking Midfield,1991-02-08,Italy,6,2018,7
Mattia Aramu,Attacking Midfield,1995-05-14,Italy,28,2018,7
Ben Lhassine Kone,Attacking Midfield,2000-03-14,Cote d'Ivoire,50,2018,7
Álex Berenguer,Left Winger,1995-07-04,Spain,21,2018,7
Vincenzo Millico,Left Winger,2000-08-12,Italy,72,2018,7
Iago Falque,Right Winger,1990-01-04,Spain,14,2018,7
Vittorio Parigini,Right Winger,1996-03-25,Italy,27,2018,7
Simone Edera,Right Winger,1997-01-09,Italy,20,2018,7
Andrea Belotti,Centre-Forward,1993-12-20,Italy,9,2018,7
M'Baye Niang,Centre-Forward,1994-12-19,Senegal,11,2018,7
Simone Zaza,Centre-Forward,1991-06-25,Italy,11,2018,7
Vitalie Damascan,Centre-Forward,1999-01-24,Moldova,19,2018,7
Nicola Rauti,Centre-Forward,2000-04-17,Italy,54,2018,7
Karlo Butic,Centre-Forward,1998-08-21,Croatia,52,2018,7
Emil Audero,Goalkeeper,1997-01-18,Italy,1,2018,20
Vid Belec,Goalkeeper,1990-06-06,Slovenia,72,2018,20
Rafael,Goalkeeper,1990-05-20,Brazil,33,2018,20
Titas Krapikas,Goalkeeper,1999-01-03,Lithuania,32,2018,20
Joachim Andersen,Centre-Back,1996-05-31,Denmark,3,2018,20
Omar Colley,Centre-Back,1992-10-24,The Gambia,15,2018,20
Lorenzo Tonelli,Centre-Back,1990-01-17,Italy,26,2018,20
Alex Ferrari,Centre-Back,1994-07-01,Italy,25,2018,20
Tommaso Farabegoli,Centre-Back,1999-03-26,Italy,13,2018,20
Maxime Leverbe,Centre-Back,1997-02-15,France,18,2018,20
Nicola Murru,Left-Back,1994-12-16,Italy,29,2018,20
Vasco Regini,Left-Back,1990-09-09,Italy,19,2018,20
Júnior Tavares,Left-Back,1996-08-07,Brazil,22,2018,20
Bartosz Bereszynski,Right-Back,1992-07-12,Poland,24,2018,20
Jacopo Sala,Right-Back,1991-12-05,Italy,7,2018,20
Albin Ekdal,Defensive Midfield,1989-07-28,Sweden,6,2018,20
Dennis Praet,Central Midfield,1994-05-14,Belgium,10,2018,20
Karol Linetty,Central Midfield,1995-02-02,Poland,16,2018,20
Ronaldo Vieira,Central Midfield,1998-07-19,England,4,2018,20
Édgar Barreto,Central Midfield,1984-07-15,Paraguay,8,2018,20
Simone Trimboli,Central Midfield,2002-04-19,Italy,30,2018,20
Gabriele Rolando,Right Midfield,1995-04-02,Italy,95,2018,20
Jakub Jankto,Left Midfield,1996-01-19,Czech Republic,14,2018,20
Gastón Ramírez,Attacking Midfield,1990-12-02,Uruguay,11,2018,20
Riccardo Saponara,Attacking Midfield,1991-12-21,Italy,5,2018,20
Mohamed Bahlouli,Attacking Midfield,2000-02-17,France,12,2018,20
Jamie Yayi Mpie,Left Winger,2001-05-22,Belgium,31,2018,20
Gianluca Caprari,Second Striker,1993-07-30,Italy,17,2018,20
Ognjen Stijepovic,Second Striker,1999-10-22,Montenegro,40,2018,20
Manolo Gabbiadini,Centre-Forward,1991-11-26,Italy,23,2018,20
Grégoire Defrel,Centre-Forward,1991-06-17,Martinique,92,2018,20
Dawid Kownacki,Centre-Forward,1997-03-14,Poland,99,2018,20
Fabio Quagliarella,Centre-Forward,1983-01-31,Italy,27,2018,20
Marco Sau,Centre-Forward,1987-11-03,Italy,20,2018,20
Andrea Consigli,Goalkeeper,1987-01-27,Italy,47,2018,6
Giacomo Satalino,Goalkeeper,1999-05-20,Italy,28,2018,6
Gianluca Pegolo,Goalkeeper,1981-03-25,Italy,79,2018,6
Merih Demiral,Centre-Back,1998-03-05,Turkey,3,2018,6
Gian Marco Ferrari,Centre-Back,1992-05-15,Italy,31,2018,6
Marlon,Centre-Back,1995-09-07,Brazil,2,2018,6
Giangiacomo Magnani,Centre-Back,1995-10-04,Italy,23,2018,6
Mauricio Lemos,Centre-Back,1995-12-28,Uruguay,5,2018,6
Federico Peluso,Centre-Back,1984-01-20,Italy,13,2018,6
Stefano Ferraresi,Centre-Back,2000-08-16,Italy,38,2018,6
Rogério,Left-Back,1998-01-13,Brazil,6,2018,6
Cristian Dell'Orco,Left-Back,1994-02-10,Italy,39,2018,6
Alessandro Tripaldelli,Left-Back,1999-02-09,Italy,3,2018,6
Leonardo Sernicola,Left-Back,1997-07-30,Italy,17,2018,6
Pol Lirola,Right-Back,1997-08-13,Spain,21,2018,6
Claud Adjapong,Right-Back,1998-05-06,Italy,98,2018,6
Manuel Locatelli,Defensive Midfield,1998-01-08,Italy,73,2018,6
Francesco Magnanelli,Defensive Midfield,1984-11-12,Italy,4,2018,6
Stefano Sensi,Central Midfield,1995-08-05,Italy,12,2018,6
Alfred Duncan,Central Midfield,1993-03-10,Ghana,32,2018,6
Mehdi Bourabia,Central Midfield,1991-08-07,Morocco,68,2018,6
Kevin-Prince Boateng,Attacking Midfield,1987-03-06,Ghana,27,2018,6
Filip Djuricic,Attacking Midfield,1992-01-30,Serbia,9,2018,6
Jérémie Boga,Left Winger,1997-01-03,Cote d'Ivoire,20,2018,6
Federico Di Francesco,Left Winger,1994-06-14,Italy,34,2018,6
Domenico Berardi,Right Winger,1994-08-01,Italy,25,2018,6
Enrico Brignola,Second Striker,1999-07-08,Italy,99,2018,6
Khouma Babacar,Centre-Forward,1993-03-17,Senegal,30,2018,6
Jens Odgaard,Centre-Forward,1999-03-31,Denmark,19,2018,6
Marcello Trotta,Centre-Forward,1992-09-29,Italy,29,2018,6
Gianluca Scamacca,Centre-Forward,1999-01-01,Italy,11,2018,6
Giacomo Raspadori,Centre-Forward,2000-02-18,Italy,18,2018,6
Alessandro Matri,Centre-Forward,1984-08-19,Italy,10,2018,6
Juan Musso,Goalkeeper,1994-05-06,Argentina,1,2018,17
Simone Scuffet,Goalkeeper,1996-05-31,Italy,22,2018,17
Nícolas,Goalkeeper,1988-04-12,Brazil,88,2018,17
Samuele Perisan,Goalkeeper,1997-08-21,Italy,27,2018,17
Manuel Gasparini,Goalkeeper,2002-05-19,Italy,40,2018,17
Semuel Pizzignacco,Goalkeeper,2001-09-01,Italy,41,2018,17
Samir,Centre-Back,1994-12-05,Brazil,3,2018,17
William Troost-Ekong,Centre-Back,1993-09-01,Nigeria,5,2018,17
Bram Nuytinck,Centre-Back,1990-05-04,Netherlands,17,2018,17
Sandro,Centre-Back,1989-03-15,Brazil,30,2018,17
Ben Wilmot,Centre-Back,1999-11-04,England,24,2018,17
